"","Lat","Lon"
"lat180",40.767812,-73.962014
"lat181",40.7742251,-73.9628048
"lat182",40.776992,-73.961023
"lat183",40.770179,-73.949091
"lat184",40.6064568,-73.9745974
"lat185",40.7736341,-73.955834
"lat186",40.7634424,-73.9704993
"lat187",40.7706654,-73.9672311
"lat188",40.7640481,-73.9718457
"lat189",40.7810313,-73.9467044
"lat190",40.7654815,-73.9581476
"lat191",40.7713722,-73.9521239
"lat192",40.7655367,-73.9582935
"lat193",40.7716648,-73.9588503
"lat194",40.7714157,-73.9477655
"lat195",40.7735677,-73.9574003
"lat196",40.7705183,-73.9556138
"lat197",40.7746693,-73.9544199
"lat198",40.7780541,-73.9568266
"lat199",40.775726,-73.945845
"lat200",40.7687022,-73.955691
"lat201",40.7771898,-73.9537655
"lat202",40.7641257,-73.9617869
"lat203",40.7764536,-73.9588281
"lat204",40.7799059,-73.948034
"lat205",40.774786,-73.9519861
"lat206",40.7814235,-73.9545806
"lat207",40.7716811,-73.9494145
"lat208",40.7827907,-73.947773
"lat209",40.7729738,-73.9582662
"lat210",40.7713971,-73.9564892
"lat211",40.7701262,-73.9574063
"lat212",40.7701262,-73.9574063
"lat213",40.761988,-73.9584378
"lat214",40.7713525,-73.9561188
"lat215",40.7680408,-73.952284
"lat216",40.7716962,-73.9518254
"lat217",40.7820157,-73.9549479
"lat218",40.7765094,-73.962297
"lat219",40.7780468,-73.94969
"lat220",40.7855628,-73.9529045
"lat221",40.7707549,-73.9569377
"lat222",40.7759349,-73.9627771
"lat223",40.7736436,-73.9472103
"lat224",40.7803429,-73.947266
"lat225",40.7835139,-73.9471066
"lat226",40.7726606,-73.9555581
"lat227",40.7807758,-73.9494005
"lat228",40.7236548,-73.9852944
"lat229",40.7791877,-73.9507958
"lat230",40.7293961,-73.9980108
"lat231",40.761988,-73.9584378
"lat232",40.7729738,-73.9582662
"lat233",40.7781388,-73.9598957
"lat234",40.7739214,-73.9499082
"lat235",40.7713525,-73.9561188
"lat236",40.7733189,-73.9583466
"lat237",40.7293961,-73.9980108
"lat238",40.775205,-73.9571438
"lat239",40.7678227,-73.9554976
"lat240",40.7694491,-73.951862
"lat241",40.7630816,-73.9578242
"lat242",40.7685611,-73.9512447
"lat243",40.7864669,-73.9529386
"lat244",40.7729738,-73.9582662
"lat245",40.7736436,-73.9472103
"lat246",40.7636353,-73.9603894
"lat247",40.7715645,-73.9611783
"lat248",40.7230145,-73.9857665
"lat249",40.7845689,-73.9518835
"lat250",40.77646,-73.9559212
"lat251",40.7684757,-73.9631426
"lat252",40.779282,-73.9524712
"lat253",40.763143,-73.9713382
"lat254",40.7646896,-73.9643068
"lat255",40.7707059,-73.949579
"lat256",40.774654,-73.94955
"lat257",NA,NA
"lat258",40.7236548,-73.9852944
"lat259",40.7649371,-73.9601827
"lat260",40.7817638,-73.958585
"lat261",40.7787952,-73.9454947
"lat262",40.7726606,-73.9555581
"lat263",40.7800135,-73.9494145
"lat264",40.7721711,-73.964701
"lat265",40.7775577,-73.950363
"lat266",40.7829679,-73.9506829
"lat267",40.7847311,-73.9546495
"lat268",40.774702,-73.9546495
"lat269",40.7236548,-73.9852944
"lat270",40.6415201,-73.8996584
"lat271",40.7811265,-73.952629
"lat272",40.7753036,-73.9536452
"lat273",40.7753036,-73.9536452
"lat274",40.771572,-73.9603779
"lat275",40.7803429,-73.947266
"lat276",40.7719732,-73.9623179
"lat277",40.7780541,-73.9568266
"lat278",40.7777159,-73.9469577
"lat279",40.7732855,-73.9566248
"lat280",40.7695325,-73.9580193
"lat281",40.7763485,-73.9524672
"lat282",40.7719548,-73.9642648
